# source, target, weight, time
0,1,1,1266192000
0,72,1,1266192000
0,256,1,1266192000
0,777,1,1266192000
0,1866,1,1266192000
0,3508,1,1266192000
0,2495,1,1267222139
0,3625,1,1266192000
0,4546,1,1266307200
0,4851,1,1266192000
0,2326,1,1266246391
0,6182,1,1266192000
0,6412,1,1266278598
0,6714,1,1266192000
0,6816,1,1266192000
0,7496,1,1266572393
0,7869,1,1266192000
0,7942,1,1266192000
0,8143,1,1266192000
0,8329,1,1266192000
0,8728,1,1266192000
0,8845,1,1266192000
0,3988,1,1266192000
0,9181,1,1266192000
0,9283,1,1266192000
0,9471,1,1266192000
0,9949,1,1266192000
0,7686,1,1266192000
0,10393,1,1266192000
0,7639,1,1266192000
0,10734,1,1266192000
0,12007,1,1266192000
0,12123,1,1266192000
0,12197,1,1266192000
0,12395,1,1266192000
0,8820,1,1266192000
0,12997,1,1266192000
0,13014,1,1266217336
0,13303,1,1266192000
0,13519,1,1266192000
0,13806,1,1266192000
0,13822,1,1266192000
0,2844,1,1266192000
0,14062,1,1266192000
0,1897,1,1266192000
0,14240,1,1266278893
0,14524,1,1266192000
0,14789,1,1266192000
0,15614,1,1266192000
0,15642,1,1266192000
0,15688,1,1266278912
0,5944,1,1266192000
0,14030,1,1266268672
0,6613,1,1266213667
0,16466,1,1266192000
0,5475,1,1266192000
0,17758,1,1266192000
0,17800,1,1266192000
0,18113,1,1266192000
0,18358,1,1266192000
0,18366,1,1266192000
0,18704,1,1266192000
0,837,1,1266192000
0,18902,1,1266192000
0,19054,1,1266278920
0,19106,1,1266192000
0,11367,1,1266192000
0,19336,1,1266192000
0,19526,1,1266192000
0,19607,1,1266192000
0,19731,1,1266192000
0,19822,1,1266192000
0,19865,1,1266192000
0,7510,1,1266192000
0,20039,1,1266307199
0,20064,1,1266192000
0,20288,1,1266192000
0,8449,1,1266192000
0,313,1,1266928321
0,3048,1,1266192000
0,11206,1,1266307199
0,20632,1,1266192000
0,21114,1,1266192000
0,15407,1,1266192000
0,21499,1,1266192000
0,13396,1,1266192000
0,22132,1,1266192000
